interpreter_make_new: model size = 2488, tensor area = 2064
time step,y
6.063274,-0.262632
6.069557,-0.262632
6.075840,-0.254160
6.082124,-0.254160
6.088406,-0.254160
6.094690,-0.254160
6.100973,-0.254160
6.107256,-0.254160
6.113540,-0.254160
6.119823,-0.203328
6.126106,-0.203328
6.132389,-0.203328
6.138672,-0.203328
6.144956,-0.211800
6.151239,-0.211800
6.157522,-0.211800
6.163805,-0.211800
6.170088,-0.203328
6.176371,-0.203328
6.182654,-0.203328
6.188938,-0.203328
6.195220,-0.186384
6.201504,-0.186384
6.207787,-0.186384
6.214070,-0.186384
6.220354,-0.169440
6.226637,-0.169440
6.232920,-0.169440
6.239203,-0.169440
6.245486,-0.127080
6.251770,-0.127080
6.258053,-0.127080
6.264336,-0.127080
6.270619,-0.110136
6.276902,-0.110136
0.000000,0.000000
0.006283,0.016944
0.012566,0.016944
0.018850,0.016944
0.025133,0.059304
0.031416,0.059304
0.037699,0.059304
0.043982,0.059304
0.050265,0.101664
0.056549,0.101664
0.062832,0.101664
0.069115,0.101664
0.075398,0.101664
0.081681,0.101664
0.087965,0.101664
0.094248,0.101664
0.100531,0.160968
0.106814,0.160968
0.113097,0.160968
0.119381,0.160968
0.125664,0.186384
0.131947,0.186384
0.138230,0.186384
0.144513,0.186384
0.150796,0.203328
0.157080,0.203328
0.163363,0.203328
0.169646,0.203328
0.175929,0.237216
0.182212,0.237216
0.188496,0.237216
0.194779,0.237216
0.201062,0.254160
0.207345,0.254160
0.213628,0.254160
0.219912,0.254160
0.226195,0.296520
0.232478,0.296520
0.238761,0.296520
0.245044,0.296520
0.251327,0.347352
0.257611,0.347352
0.263894,0.347352
0.270177,0.347352
0.276460,0.372768
0.282743,0.372768
0.289027,0.372768
0.295310,0.372768
0.301593,0.372768
0.307876,0.372768
0.314159,0.372768
0.320442,0.398184
0.326726,0.398184
0.333009,0.398184
0.339292,0.398184
0.345575,0.389712
0.351858,0.389712
0.358142,0.389712
0.364425,0.389712
0.370708,0.423600
0.376991,0.423600
0.383274,0.423600
0.389557,0.423600
0.395841,0.406656
0.402124,0.406656
0.408407,0.406656
0.414690,0.406656
0.420973,0.440544
0.427257,0.440544
0.433540,0.440544
0.439823,0.440544
0.446106,0.449016
0.452389,0.449016
0.458673,0.449016
0.464956,0.449016
0.471239,0.457488
0.477522,0.457488
0.483805,0.457488
0.490088,0.457488
0.496372,0.482904
0.502655,0.482904
0.508938,0.482904
0.515221,0.482904
0.521504,0.491376
0.527788,0.491376
0.534071,0.491376
0.540354,0.491376
0.546637,0.491376
0.552920,0.491376
0.559204,0.491376
0.565487,0.508321
0.571770,0.508321
0.578053,0.508321
0.584336,0.508321
0.590619,0.550681
0.596903,0.550681
0.603186,0.550681
0.609469,0.550681
0.615752,0.559153
0.622035,0.559153
0.628319,0.559153
0.634602,0.559153
0.640885,0.593041
0.647168,0.593041
0.653451,0.593041
0.659734,0.593041
0.666018,0.609985
0.672301,0.609985
0.678584,0.609985
0.684867,0.609985
0.691150,0.643873
0.697434,0.643873
0.703717,0.643873
0.710000,0.643873
0.716283,0.686233
0.722566,0.686233
0.728849,0.686233
0.735133,0.686233
0.741416,0.686233
0.747699,0.686233
0.753982,0.686233
0.760265,0.686233
0.766549,0.711649
0.772832,0.711649
0.779115,0.711649
0.785398,0.711649
0.791681,0.745537
0.797965,0.745537
0.804248,0.745537
0.810531,0.745537
0.816814,0.762481
0.823097,0.762481
0.829381,0.762481
0.835664,0.796369
0.841947,0.796369
0.848230,0.796369
0.854513,0.796369
0.860796,0.796369
0.867080,0.796369
0.873363,0.796369
0.879646,0.796369
0.885929,0.830257
0.892212,0.830257
0.898496,0.830257
0.904779,0.830257
0.911062,0.847201
0.917345,0.847201
0.923628,0.847201
0.929911,0.847201
0.936195,0.838729
0.942478,0.838729
0.948761,0.838729
0.955044,0.838729
0.961327,0.855673
0.967611,0.855673
0.973894,0.855673
0.980177,0.855673
0.986460,0.889561
0.992743,0.889561
0.999026,0.889561
1.005310,0.889561
1.011593,0.881089
1.017876,0.881089
1.024159,0.881089
1.030442,0.881089
1.036726,0.906505
1.043009,0.906505
1.049292,0.906505
1.055575,0.906505
1.061858,0.881089
1.068141,0.881089
1.074425,0.881089
1.080708,0.881089
1.086991,0.906505
1.093274,0.906505
1.099558,0.906505
1.105841,0.931921
1.112124,0.931921
1.118407,0.931921
1.124690,0.931921
1.130973,0.923449
1.137257,0.923449
1.143540,0.923449
1.149823,0.923449
1.156106,0.948865
1.162389,0.948865
1.168672,0.948865
1.174956,0.948865
1.181239,0.965809
1.187522,0.965809
1.193805,0.965809
1.200088,0.965809
1.206372,0.957337
1.212655,0.957337
1.218938,0.957337
1.225221,0.957337
1.231504,0.982753
1.237788,0.982753
1.244071,0.982753
1.250354,0.982753
1.256637,0.965809
1.262920,0.965809
1.269204,0.965809
1.275487,0.965809
1.281770,0.974281
1.288053,0.974281
1.294336,0.974281
1.300619,0.974281
1.306903,0.991225
1.313186,0.991225
1.319469,0.991225
1.325752,0.991225
1.332035,0.982753
1.338318,0.982753
1.344602,0.982753
1.350885,0.982753
1.357168,0.999697
1.363451,0.999697
1.369734,0.999697
1.376018,0.999697
1.382301,1.016641
1.388584,1.016641
1.394867,1.016641
1.401150,1.008169
1.407434,1.008169
1.413717,1.008169
1.420000,1.008169
1.426283,1.016641
1.432566,1.016641
1.438849,1.016641
1.445133,1.016641
1.451416,1.008169
1.457699,1.008169
1.463982,1.008169
1.470265,1.008169
1.476549,1.025113
1.482832,1.025113
1.489115,1.025113
1.495398,1.025113
1.501681,1.042057
1.507964,1.042057
1.514248,1.042057
1.520531,1.042057
1.526814,1.025113
1.533097,1.025113
1.539381,1.025113
1.545664,1.025113
1.551947,1.042057
1.558230,1.042057
1.564513,1.042057
1.570796,1.042057
1.577080,1.042057
1.583363,1.042057
1.589646,1.042057
1.595929,1.042057
1.602212,1.033585
1.608496,1.033585
1.614779,1.033585
1.621062,1.033585
1.627345,1.042057
1.633628,1.042057
1.639911,1.042057
1.646195,1.042057
1.652478,1.008169
1.658761,1.008169
1.665044,1.008169
1.671327,1.025113
1.677610,1.025113
1.683894,1.025113
1.690177,1.025113
1.696460,1.033585
1.702743,1.033585
1.709026,1.033585
1.715310,1.033585
1.721593,0.991225
1.727876,0.991225
1.734159,0.991225
1.740442,0.991225
1.746726,0.991225
1.753009,0.991225
1.759292,0.991225
1.765575,0.991225
1.771858,1.008169
1.778142,1.008169
1.784425,1.008169
1.790708,1.008169
1.796991,0.957337
1.803274,0.957337
1.809557,0.957337
1.815841,0.957337
1.822124,0.974281
1.828407,0.974281
1.834690,0.974281
1.840973,0.974281
1.847257,0.940393
1.853540,0.940393
1.859823,0.940393
1.866106,0.940393
1.872389,0.957337
1.878672,0.957337
1.884956,0.957337
1.891239,0.957337
1.897522,0.957337
1.903805,0.957337
1.910088,0.957337
1.916372,0.957337
1.922655,0.923449
1.928938,0.923449
1.935221,0.923449
1.941504,0.931921
1.947788,0.931921
1.954071,0.931921
1.960354,0.931921
1.966637,0.957337
1.972920,0.957337
1.979203,0.957337
1.985487,0.957337
1.991770,0.881089
1.998053,0.881089
2.004336,0.881089
2.010619,0.881089
2.016903,0.906505
2.023186,0.906505
2.029469,0.906505
2.035752,0.906505
2.042035,0.872617
2.048318,0.872617
2.054602,0.872617
2.060885,0.872617
